date,n1,n2,n3,n4,n5,n6
2011-11-10,6,13,18,20,35,40
2011-11-14,3,10,14,15,17,43
2011-11-17,2,6,22,29,31,32
2011-11-21,6,25,28,30,35,37
2011-11-24,6,12,15,16,33,40
2011-11-28,2,11,22,32,35,41
2011-12-01,3,27,33,34,40,43
2011-12-05,3,10,17,29,33,39
2011-12-08,18,19,21,25,42,43
2011-12-12,8,10,14,23,25,40
2011-12-15,7,13,17,20,28,40
2011-12-19,18,27,28,30,38,39
2011-12-22,5,12,32,36,37,39
2011-12-26,5,7,20,32,37,39
2011-12-29,8,14,29,33,35,43
2012-01-02,2,4,17,20,31,35
2012-01-05,3,6,9,10,22,34
2012-01-09,6,15,22,29,32,40
2012-01-12,2,8,14,30,36,41
2012-01-16,5,11,30,34,35,43
2012-01-19,11,13,18,20,32,41
2012-01-23,13,30,31,33,39,41
2012-01-26,2,7,13,34,35,36
2012-01-30,16,24,28,33,36,40
2012-02-02,3,13,17,18,29,36
2012-02-06,11,13,17,26,31,37
2012-02-09,11,12,18,23,26,40
2012-02-13,1,5,9,36,37,38
2012-02-20,23,25,32,34,36,37
2012-02-23,7,16,22,23,26,33
2012-02-27,7,9,10,23,26,34
2012-03-01,5,7,10,14,15,30
2012-03-05,2,6,13,20,26,41
2012-03-08,4,16,21,22,23,32
2012-03-12,9,20,25,30,40,42
2012-03-15,1,18,20,28,32,34
2012-03-19,14,16,25,31,32,42
2012-03-22,14,17,23,24,32,39
2012-03-26,5,19,28,31,33,39
2012-03-29,14,15,16,19,28,43
2012-04-02,18,26,31,38,41,43
2012-04-05,9,16,22,35,36,38
2012-04-09,2,6,8,16,36,39
2012-04-12,9,11,25,28,33,35
2012-04-16,1,5,11,13,14,19
2012-04-19,2,7,11,19,22,32
2012-04-23,2,10,14,16,20,26
2012-04-26,2,12,15,27,28,39
2012-04-30,8,14,16,24,25,31
2012-05-03,12,19,25,36,38,41
2012-05-07,13,18,26,30,31,42
2012-05-10,2,6,9,15,20,40
2012-05-14,3,10,17,22,32,40
2012-05-17,2,15,22,26,31,33
2012-05-21,3,9,10,20,32,43
2012-05-24,3,7,10,13,24,35
2012-05-28,8,23,24,26,39,41
2012-05-31,4,20,23,29,34,42
2012-06-04,10,14,15,16,31,37
2012-06-07,4,7,11,13,24,25
2012-06-11,3,5,8,20,28,29
2012-06-14,6,13,25,31,33,35
2012-06-18,4,18,24,29,35,38
2012-06-21,11,20,21,23,41,42
